Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
PG;2011;2;4;04/02/2011;28 febbraio 2011;269,6
UD;2011;2;4;04/02/2011;28 febbraio 2011;277
RM;2011;2;4;04/02/2011;28 febbraio 2011;280
AL;2011;2;4;04/02/2011;28 febbraio 2011;280
TO;2011;2;4;04/02/2011;28 febbraio 2011;283
BO;2011;2;4;04/02/2011;28 febbraio 2011;288
PD;2011;2;4;04/02/2011;28 febbraio 2011;291,5
TV;2011;2;4;04/02/2011;28 febbraio 2011;292,5
GR;2011;2;4;04/02/2011;28 febbraio 2011;292,66
VR;2011;2;4;04/02/2011;28 febbraio 2011;296,5
MI;2011;2;4;04/02/2011;28 febbraio 2011;300,5
NA;2011;2;4;04/02/2011;28 febbraio 2011;
FI;2011;3;1;01/03/2011;08 marzo 2011;237,5
PG;2011;3;1;01/03/2011;08 marzo 2011;264,6
UD;2011;3;1;01/03/2011;08 marzo 2011;271
RM;2011;3;1;01/03/2011;08 marzo 2011;275
AL;2011;3;1;01/03/2011;08 marzo 2011;276
TO;2011;3;1;01/03/2011;08 marzo 2011;281
BO;2011;3;1;01/03/2011;08 marzo 2011;283
PD;2011;3;1;01/03/2011;08 marzo 2011;284,5
TV;2011;3;1;01/03/2011;08 marzo 2011;290
VR;2011;3;1;01/03/2011;08 marzo 2011;290,5
GR;2011;3;1;01/03/2011;08 marzo 2011;292,66
MI;2011;3;1;01/03/2011;08 marzo 2011;295,5
NA;2011;3;1;01/03/2011;08 marzo 2011;
FI;2011;3;2;02/03/2011;15 marzo 2011;227,5
PG;2011;3;2;02/03/2011;15 marzo 2011;259,6
UD;2011;3;2;02/03/2011;15 marzo 2011;261
TO;2011;3;2;02/03/2011;15 marzo 2011;263
RM;2011;3;2;02/03/2011;15 marzo 2011;270
PD;2011;3;2;02/03/2011;15 marzo 2011;270,5
BO;2011;3;2;02/03/2011;15 marzo 2011;273
AL;2011;3;2;02/03/2011;15 marzo 2011;273
VR;2011;3;2;02/03/2011;15 marzo 2011;280,5
TV;2011;3;2;02/03/2011;15 marzo 2011;282,5
GR;2011;3;2;02/03/2011;15 marzo 2011;282,66
MI;2011;3;2;02/03/2011;15 marzo 2011;288,5
NA;2011;3;2;02/03/2011;15 marzo 2011;
FI;2011;3;3;03/03/2011;21 marzo 2011;217,5
PG;2011;3;3;03/03/2011;21 marzo 2011;244,6
TO;2011;3;3;03/03/2011;21 marzo 2011;248
UD;2011;3;3;03/03/2011;21 marzo 2011;251
RM;2011;3;3;03/03/2011;21 marzo 2011;255
TV;2011;3;3;03/03/2011;21 marzo 2011;257,5
VR;2011;3;3;03/03/2011;21 marzo 2011;262,5
AL;2011;3;3;03/03/2011;21 marzo 2011;263
PD;2011;3;3;03/03/2011;21 marzo 2011;265,5
MI;2011;3;3;03/03/2011;21 marzo 2011;268,5
GR;2011;3;3;03/03/2011;21 marzo 2011;277,66
BO;2011;3;3;03/03/2011;21 marzo 2011;
NA;2011;3;3;03/03/2011;21 marzo 2011;
FI;2011;3;4;04/03/2011;30 marzo 2011;215,5
PG;2011;3;4;04/03/2011;30 marzo 2011;239,6
AL;2011;3;4;04/03/2011;30 marzo 2011;243
UD;2011;3;4;04/03/2011;30 marzo 2011;251
TO;2011;3;4;04/03/2011;30 marzo 2011;253
RM;2011;3;4;04/03/2011;30 marzo 2011;255
PD;2011;3;4;04/03/2011;30 marzo 2011;263,5
VR;2011;3;4;04/03/2011;30 marzo 2011;266,5
TV;2011;3;4;04/03/2011;30 marzo 2011;267,5
GR;2011;3;4;04/03/2011;30 marzo 2011;267,66
BO;2011;3;4;04/03/2011;30 marzo 2011;268
MI;2011;3;4;04/03/2011;30 marzo 2011;268,5
NA;2011;3;4;04/03/2011;30 marzo 2011;
FI;2011;3;5;05/03/2011;04 aprile 2011;215,5
PG;2011;3;5;05/03/2011;04 aprile 2011;236,6
AL;2011;3;5;05/03/2011;04 aprile 2011;246
UD;2011;3;5;05/03/2011;04 aprile 2011;256
RM;2011;3;5;05/03/2011;04 aprile 2011;258
TO;2011;3;5;05/03/2011;04 aprile 2011;260
PD;2011;3;5;05/03/2011;04 aprile 2011;265,5
VR;2011;3;5;05/03/2011;04 aprile 2011;266,5
GR;2011;3;5;05/03/2011;04 aprile 2011;267,66
BO;2011;3;5;05/03/2011;04 aprile 2011;268
TV;2011;3;5;05/03/2011;04 aprile 2011;269,5
MI;2011;3;5;05/03/2011;04 aprile 2011;272,5
NA;2011;3;5;05/03/2011;04 aprile 2011;
FI;2011;4;1;01/04/2011;11 aprile 2011;222,5
PG;2011;4;1;01/04/2011;11 aprile 2011;238,6
AL;2011;4;1;01/04/2011;11 aprile 2011;250
UD;2011;4;1;01/04/2011;11 aprile 2011;266
RM;2011;4;1;01/04/2011;11 aprile 2011;266
TO;2011;4;1;01/04/2011;11 aprile 2011;267
VR;2011;4;1;01/04/2011;11 aprile 2011;269,5
PD;2011;4;1;01/04/2011;11 aprile 2011;271,5
TV;2011;4;1;01/04/2011;11 aprile 2011;273,5
BO;2011;4;1;01/04/2011;11 aprile 2011;275
MI;2011;4;1;01/04/2011;11 aprile 2011;279,5
NA;2011;4;1;01/04/2011;11 aprile 2011;
GR;2011;4;1;01/04/2011;11 aprile 2011;
FI;2011;4;2;02/04/2011;18 aprile 2011;222,5
PG;2011;4;2;02/04/2011;18 aprile 2011;246,6
AL;2011;4;2;02/04/2011;18 aprile 2011;260
TO;2011;4;2;02/04/2011;18 aprile 2011;265
UD;2011;4;2;02/04/2011;18 aprile 2011;266
RM;2011;4;2;02/04/2011;18 aprile 2011;266
VR;2011;4;2;02/04/2011;18 aprile 2011;271,5
PD;2011;4;2;02/04/2011;18 aprile 2011;271,5
TV;2011;4;2;02/04/2011;18 aprile 2011;274,5
BO;2011;4;2;02/04/2011;18 aprile 2011;275
MI;2011;4;2;02/04/2011;18 aprile 2011;279,5
NA;2011;4;2;02/04/2011;18 aprile 2011;
GR;2011;4;2;02/04/2011;18 aprile 2011;
FI;2011;4;3;03/04/2011;26 aprile 2011;222,5
PG;2011;4;3;03/04/2011;26 aprile 2011;246,6
AL;2011;4;3;03/04/2011;26 aprile 2011;260
