Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
BO;2011;10;1;01/10/2011;11 ottobre 2011;213,5
TV;2011;10;1;01/10/2011;11 ottobre 2011;214
RM;2011;10;1;01/10/2011;11 ottobre 2011;222
GR;2011;10;1;01/10/2011;11 ottobre 2011;222,66
MI;2011;10;1;01/10/2011;11 ottobre 2011;224,5
PG;2011;10;1;01/10/2011;11 ottobre 2011;275,1
TO;2011;10;1;01/10/2011;11 ottobre 2011;
NA;2011;10;1;01/10/2011;11 ottobre 2011;
FI;2011;10;2;02/10/2011;19 ottobre 2011;170,5
PG;2011;10;2;02/10/2011;19 ottobre 2011;189,6
AL;2011;10;2;02/10/2011;19 ottobre 2011;202
PD;2011;10;2;02/10/2011;19 ottobre 2011;205
UD;2011;10;2;02/10/2011;19 ottobre 2011;205,5
BO;2011;10;2;02/10/2011;19 ottobre 2011;208,5
VR;2011;10;2;02/10/2011;19 ottobre 2011;209
TV;2011;10;2;02/10/2011;19 ottobre 2011;209
GR;2011;10;2;02/10/2011;19 ottobre 2011;212,66
MI;2011;10;2;02/10/2011;19 ottobre 2011;220,5
RM;2011;10;2;02/10/2011;19 ottobre 2011;223
NA;2011;10;2;02/10/2011;19 ottobre 2011;
FI;2011;10;3;03/10/2011;26 ottobre 2011;170,5
PG;2011;10;3;03/10/2011;26 ottobre 2011;184,6
VR;2011;10;3;03/10/2011;26 ottobre 2011;195,5
AL;2011;10;3;03/10/2011;26 ottobre 2011;198
PD;2011;10;3;03/10/2011;26 ottobre 2011;205
UD;2011;10;3;03/10/2011;26 ottobre 2011;205,5
TV;2011;10;3;03/10/2011;26 ottobre 2011;206
BO;2011;10;3;03/10/2011;26 ottobre 2011;208,5
TO;2011;10;3;03/10/2011;26 ottobre 2011;212,5
GR;2011;10;3;03/10/2011;26 ottobre 2011;212,66
MI;2011;10;3;03/10/2011;26 ottobre 2011;218,5
RM;2011;10;3;03/10/2011;26 ottobre 2011;223
NA;2011;10;3;03/10/2011;26 ottobre 2011;
FI;2011;10;4;04/10/2011;02 novembre 2011;170,5
PG;2011;10;4;04/10/2011;02 novembre 2011;184,5
VR;2011;10;4;04/10/2011;02 novembre 2011;197,5
AL;2011;10;4;04/10/2011;02 novembre 2011;198
UD;2011;10;4;04/10/2011;02 novembre 2011;205,5
TV;2011;10;4;04/10/2011;02 novembre 2011;206
PD;2011;10;4;04/10/2011;02 novembre 2011;207
BO;2011;10;4;04/10/2011;02 novembre 2011;209,5
GR;2011;10;4;04/10/2011;02 novembre 2011;212,66
MI;2011;10;4;04/10/2011;02 novembre 2011;218,5
RM;2011;10;4;04/10/2011;02 novembre 2011;223
TO;2011;10;4;04/10/2011;02 novembre 2011;
NA;2011;10;4;04/10/2011;02 novembre 2011;
FI;2011;11;1;01/11/2011;07 novembre 2011;170,5
VR;2011;11;1;01/11/2011;07 novembre 2011;197,5
AL;2011;11;1;01/11/2011;07 novembre 2011;198
UD;2011;11;1;01/11/2011;07 novembre 2011;205,5
TV;2011;11;1;01/11/2011;07 novembre 2011;206
PD;2011;11;1;01/11/2011;07 novembre 2011;208
BO;2011;11;1;01/11/2011;07 novembre 2011;208,5
GR;2011;11;1;01/11/2011;07 novembre 2011;212,66
TO;2011;11;1;01/11/2011;07 novembre 2011;215
MI;2011;11;1;01/11/2011;07 novembre 2011;218,5
RM;2011;11;1;01/11/2011;07 novembre 2011;220
PG;2011;11;1;01/11/2011;07 novembre 2011;
NA;2011;11;1;01/11/2011;07 novembre 2011;
FI;2011;11;2;02/11/2011;15 novembre 2011;170,5
PG;2011;11;2;02/11/2011;15 novembre 2011;184,6
AL;2011;11;2;02/11/2011;15 novembre 2011;198
VR;2011;11;2;02/11/2011;15 novembre 2011;198,5
UD;2011;11;2;02/11/2011;15 novembre 2011;202,5
TV;2011;11;2;02/11/2011;15 novembre 2011;206
PD;2011;11;2;02/11/2011;15 novembre 2011;206
BO;2011;11;2;02/11/2011;15 novembre 2011;208,5
GR;2011;11;2;02/11/2011;15 novembre 2011;212,66
TO;2011;11;2;02/11/2011;15 novembre 2011;215
MI;2011;11;2;02/11/2011;15 novembre 2011;218,5
RM;2011;11;2;02/11/2011;15 novembre 2011;220
NA;2011;11;2;02/11/2011;15 novembre 2011;
FI;2011;11;3;03/11/2011;21 novembre 2011;170,5
PG;2011;11;3;03/11/2011;21 novembre 2011;184,6
AL;2011;11;3;03/11/2011;21 novembre 2011;198
VR;2011;11;3;03/11/2011;21 novembre 2011;198,5
UD;2011;11;3;03/11/2011;21 novembre 2011;202,5
PD;2011;11;3;03/11/2011;21 novembre 2011;204
TV;2011;11;3;03/11/2011;21 novembre 2011;206
BO;2011;11;3;03/11/2011;21 novembre 2011;208,5
TO;2011;11;3;03/11/2011;21 novembre 2011;211
GR;2011;11;3;03/11/2011;21 novembre 2011;212,66
MI;2011;11;3;03/11/2011;21 novembre 2011;218,5
RM;2011;11;3;03/11/2011;21 novembre 2011;220
NA;2011;11;3;03/11/2011;21 novembre 2011;
FI;2011;11;4;04/11/2011;29 novembre 2011;167,5
PG;2011;11;4;04/11/2011;29 novembre 2011;182,6
AL;2011;11;4;04/11/2011;29 novembre 2011;195
VR;2011;11;4;04/11/2011;29 novembre 2011;196,5
UD;2011;11;4;04/11/2011;29 novembre 2011;200,5
PD;2011;11;4;04/11/2011;29 novembre 2011;202
TV;2011;11;4;04/11/2011;29 novembre 2011;204
BO;2011;11;4;04/11/2011;29 novembre 2011;205,5
TO;2011;11;4;04/11/2011;29 novembre 2011;206
GR;2011;11;4;04/11/2011;29 novembre 2011;212,66
MI;2011;11;4;04/11/2011;29 novembre 2011;215,5
RM;2011;11;4;04/11/2011;29 novembre 2011;217
NA;2011;11;4;04/11/2011;29 novembre 2011;
FI;2011;12;1;01/12/2011;05 dicembre 2011;167,5
PG;2011;12;1;01/12/2011;05 dicembre 2011;180,6
AL;2011;12;1;01/12/2011;05 dicembre 2011;189
VR;2011;12;1;01/12/2011;05 dicembre 2011;196,5
UD;2011;12;1;01/12/2011;05 dicembre 2011;200,5
PD;2011;12;1;01/12/2011;05 dicembre 2011;202
TV;2011;12;1;01/12/2011;05 dicembre 2011;204
BO;2011;12;1;01/12/2011;05 dicembre 2011;205,5
TO;2011;12;1;01/12/2011;05 dicembre 2011;206
GR;2011;12;1;01/12/2011;05 dicembre 2011;212,66
MI;2011;12;1;01/12/2011;05 dicembre 2011;215,5
RM;2011;12;1;01/12/2011;05 dicembre 2011;217
NA;2011;12;1;01/12/2011;05 dicembre 2011;
FI;2011;12;2;02/12/2011;12 dicembre 2011;166,5
PG;2011;12;2;02/12/2011;12 dicembre 2011;180,6
AL;2011;12;2;02/12/2011;12 dicembre 2011;189
VR;2011;12;2;02/12/2011;12 dicembre 2011;196,5
UD;2011;12;2;02/12/2011;12 dicembre 2011;200,5
TV;2011;12;2;02/12/2011;12 dicembre 2011;201
PD;2011;12;2;02/12/2011;12 dicembre 2011;202
BO;2011;12;2;02/12/2011;12 dicembre 2011;204,5
GR;2011;12;2;02/12/2011;12 dicembre 2011;212,66
MI;2011;12;2;02/12/2011;12 dicembre 2011;215,5
RM;2011;12;2;02/12/2011;12 dicembre 2011;217
TO;2011;12;2;02/12/2011;12 dicembre 2011;
NA;2011;12;2;02/12/2011;12 dicembre 2011;
FI;2011;12;3;03/12/2011;19 dicembre 2011;165,5
PG;2011;12;3;03/12/2011;19 dicembre 2011;178,6
AL;2011;12;3;03/12/2011;19 dicembre 2011;189
VR;2011;12;3;03/12/2011;19 dicembre 2011;196,5
UD;2011;12;3;03/12/2011;19 dicembre 2011;199,5
TV;2011;12;3;03/12/2011;19 dicembre 2011;201
PD;2011;12;3;03/12/2011;19 dicembre 2011;203
BO;2011;12;3;03/12/2011;19 dicembre 2011;204,5
TO;2011;12;3;03/12/2011;19 dicembre 2011;206
GR;2011;12;3;03/12/2011;19 dicembre 2011;207,66
MI;2011;12;3;03/12/2011;19 dicembre 2011;213,5
RM;2011;12;3;03/12/2011;19 dicembre 2011;215
NA;2011;12;3;03/12/2011;19 dicembre 2011;
FI;2011;12;4;04/12/2011;28 dicembre 2011;167,5
PG;2011;12;4;04/12/2011;28 dicembre 2011;178,5
AL;2011;12;4;04/12/2011;28 dicembre 2011;186
VR;2011;12;4;04/12/2011;28 dicembre 2011;197,5
UD;2011;12;4;04/12/2011;28 dicembre 2011;199,5
TV;2011;12;4;04/12/2011;28 dicembre 2011;204
BO;2011;12;4;04/12/2011;28 dicembre 2011;207,5
PD;2011;12;4;04/12/2011;28 dicembre 2011;208,5
MI;2011;12;4;04/12/2011;28 dicembre 2011;215,5
RM;2011;12;4;04/12/2011;28 dicembre 2011;217
TO;2011;12;4;04/12/2011;28 dicembre 2011;224
GR;2011;12;4;04/12/2011;28 dicembre 2011;
NA;2011;12;4;04/12/2011;28 dicembre 2011;
FI;2011;12;5;05/12/2011;04 gennaio 2012;166
PG;2011;12;5;05/12/2011;04 gennaio 2012;180,6
UD;2011;12;5;05/12/2011;04 gennaio 2012;199,5
TV;2011;12;5;05/12/2011;04 gennaio 2012;206
BO;2011;12;5;05/12/2011;04 gennaio 2012;207,5
PD;2011;12;5;05/12/2011;04 gennaio 2012;208,5
MI;2011;12;5;05/12/2011;04 gennaio 2012;215,5
VR;2011;12;5;05/12/2011;04 gennaio 2012;
TO;2011;12;5;05/12/2011;04 gennaio 2012;
RM;2011;12;5;05/12/2011;04 gennaio 2012;
GR;2011;12;5;05/12/2011;04 gennaio 2012;
AL;2011;12;5;05/12/2011;04 gennaio 2012;
NA;2011;12;5;05/12/2011;04 gennaio 2012;
BO;2012;1;1;01/01/2012;11 gennaio 2012;213,5
TO;2012;1;1;01/01/2012;11 gennaio 2012;219
RM;2012;1;1;01/01/2012;11 gennaio 2012;221
MI;2012;1;1;01/01/2012;11 gennaio 2012;221,5
VR;2012;1;1;01/01/2012;11 gennaio 2012;
UD;2012;1;1;01/01/2012;11 gennaio 2012;
TV;2012;1;1;01/01/2012;11 gennaio 2012;
PG;2012;1;1;01/01/2012;11 gennaio 2012;
PD;2012;1;1;01/01/2012;11 gennaio 2012;
GR;2012;1;1;01/01/2012;11 gennaio 2012;
FI;2012;1;1;01/01/2012;11 gennaio 2012;
AL;2012;1;1;01/01/2012;11 gennaio 2012;
NA;2012;1;1;01/01/2012;11 gennaio 2012;
FI;2012;1;2;02/01/2012;17 gennaio 2012;171,5
PG;2012;1;2;02/01/2012;17 gennaio 2012;186,6
AL;2012;1;2;02/01/2012;17 gennaio 2012;192
UD;2012;1;2;02/01/2012;17 gennaio 2012;202,5
VR;2012;1;2;02/01/2012;17 gennaio 2012;209,5
TV;2012;1;2;02/01/2012;17 gennaio 2012;212,5
PD;2012;1;2;02/01/2012;17 gennaio 2012;215,5
BO;2012;1;2;02/01/2012;17 gennaio 2012;215,5
GR;2012;1;2;02/01/2012;17 gennaio 2012;217,66
TO;2012;1;2;02/01/2012;17 gennaio 2012;219
RM;2012;1;2;02/01/2012;17 gennaio 2012;224
MI;2012;1;2;02/01/2012;17 gennaio 2012;227
NA;2012;1;2;02/01/2012;17 gennaio 2012;
FI;2012;1;3;03/01/2012;24 gennaio 2012;171,5
PG;2012;1;3;03/01/2012;24 gennaio 2012;188,6
AL;2012;1;3;03/01/2012;24 gennaio 2012;194
VR;2012;1;3;03/01/2012;24 gennaio 2012;212,5
UD;2012;1;3;03/01/2012;24 gennaio 2012;212,5
TV;2012;1;3;03/01/2012;24 gennaio 2012;212,5
PD;2012;1;3;03/01/2012;24 gennaio 2012;215,5
BO;2012;1;3;03/01/2012;24 gennaio 2012;215,5
GR;2012;1;3;03/01/2012;24 gennaio 2012;217,66
TO;2012;1;3;03/01/2012;24 gennaio 2012;222
RM;2012;1;3;03/01/2012;24 gennaio 2012;224
MI;2012;1;3;03/01/2012;24 gennaio 2012;227
NA;2012;1;3;03/01/2012;24 gennaio 2012;
FI;2012;1;4;04/01/2012;30 gennaio 2012;171,5
PG;2012;1;4;04/01/2012;30 gennaio 2012;188,6
AL;2012;1;4;04/01/2012;30 gennaio 2012;194
UD;2012;1;4;04/01/2012;30 gennaio 2012;212,5
TV;2012;1;4;04/01/2012;30 gennaio 2012;212,5
BO;2012;1;4;04/01/2012;30 gennaio 2012;215,5
PD;2012;1;4;04/01/2012;30 gennaio 2012;217,5
GR;2012;1;4;04/01/2012;30 gennaio 2012;217,66
RM;2012;1;4;04/01/2012;30 gennaio 2012;224
TO;2012;1;4;04/01/2012;30 gennaio 2012;226
MI;2012;1;4;04/01/2012;30 gennaio 2012;227
VR;2012;1;4;04/01/2012;30 gennaio 2012;
NA;2012;1;4;04/01/2012;30 gennaio 2012;
FI;2012;2;1;01/02/2012;07 febbraio 2012;171,5
PG;2012;2;1;01/02/2012;07 febbraio 2012;191,6
AL;2012;2;1;01/02/2012;07 febbraio 2012;195
TV;2012;2;1;01/02/2012;07 febbraio 2012;212,5
UD;2012;2;1;01/02/2012;07 febbraio 2012;214,5
PD;2012;2;1;01/02/2012;07 febbraio 2012;222,5
BO;2012;2;1;01/02/2012;07 febbraio 2012;222,5
GR;2012;2;1;01/02/2012;07 febbraio 2012;222,66
RM;2012;2;1;01/02/2012;07 febbraio 2012;227
MI;2012;2;1;01/02/2012;07 febbraio 2012;230
TO;2012;2;1;01/02/2012;07 febbraio 2012;234
VR;2012;2;1;01/02/2012;07 febbraio 2012;
NA;2012;2;1;01/02/2012;07 febbraio 2012;
FI;2012;2;2;02/02/2012;21 febbraio 2012;179,5
PG;2012;2;2;02/02/2012;21 febbraio 2012;199,6
AL;2012;2;2;02/02/2012;21 febbraio 2012;203
PD;2012;2;2;02/02/2012;21 febbraio 2012;203,5
UD;2012;2;2;02/02/2012;21 febbraio 2012;217,5
TV;2012;2;2;02/02/2012;21 febbraio 2012;221,5
RM;2012;2;2;02/02/2012;21 febbraio 2012;227
BO;2012;2;2;02/02/2012;21 febbraio 2012;227,5
GR;2012;2;2;02/02/2012;21 febbraio 2012;227,66
TO;2012;2;2;02/02/2012;21 febbraio 2012;237
MI;2012;2;2;02/02/2012;21 febbraio 2012;237
VR;2012;2;2;02/02/2012;21 febbraio 2012;
NA;2012;2;2;02/02/2012;21 febbraio 2012;
FI;2012;2;3;03/02/2012;21 febbraio 2012;177,5
PG;2012;2;3;03/02/2012;21 febbraio 2012;202,6
AL;2012;2;3;03/02/2012;21 febbraio 2012;210
UD;2012;2;3;03/02/2012;21 febbraio 2012;215,5
TV;2012;2;3;03/02/2012;21 febbraio 2012;221
PD;2012;2;3;03/02/2012;21 febbraio 2012;221,5
BO;2012;2;3;03/02/2012;21 febbraio 2012;225,5
RM;2012;2;3;03/02/2012;21 febbraio 2012;230
TO;2012;2;3;03/02/2012;21 febbraio 2012;231
MI;2012;2;3;03/02/2012;21 febbraio 2012;234
GR;2012;2;3;03/02/2012;21 febbraio 2012;
VR;2012;2;3;03/02/2012;21 febbraio 2012;
NA;2012;2;3;03/02/2012;21 febbraio 2012;
FI;2012;2;4;04/02/2012;28 febbraio 2012;174,5
PG;2012;2;4;04/02/2012;28 febbraio 2012;199,6
AL;2012;2;4;04/02/2012;28 febbraio 2012;207
UD;2012;2;4;04/02/2012;28 febbraio 2012;212,5
TV;2012;2;4;04/02/2012;28 febbraio 2012;219
PD;2012;2;4;04/02/2012;28 febbraio 2012;220,5
BO;2012;2;4;04/02/2012;28 febbraio 2012;222,5
GR;2012;2;4;04/02/2012;28 febbraio 2012;222,66
TO;2012;2;4;04/02/2012;28 febbraio 2012;228
RM;2012;2;4;04/02/2012;28 febbraio 2012;228
MI;2012;2;4;04/02/2012;28 febbraio 2012;231
VR;2012;2;4;04/02/2012;28 febbraio 2012;
NA;2012;2;4;04/02/2012;28 febbraio 2012;
FI;2012;3;1;01/03/2012;06 marzo 2012;172,5
PG;2012;3;1;01/03/2012;06 marzo 2012;194,6
AL;2012;3;1;01/03/2012;06 marzo 2012;204
UD;2012;3;1;01/03/2012;06 marzo 2012;209,5
TV;2012;3;1;01/03/2012;06 marzo 2012;216,5
PD;2012;3;1;01/03/2012;06 marzo 2012;217,5
GR;2012;3;1;01/03/2012;06 marzo 2012;217,66
BO;2012;3;1;01/03/2012;06 marzo 2012;220,5
RM;2012;3;1;01/03/2012;06 marzo 2012;223
MI;2012;3;1;01/03/2012;06 marzo 2012;228
TO;2012;3;1;01/03/2012;06 marzo 2012;231
VR;2012;3;1;01/03/2012;06 marzo 2012;
NA;2012;3;1;01/03/2012;06 marzo 2012;
FI;2012;3;2;02/03/2012;13 marzo 2012;172,5
PG;2012;3;2;02/03/2012;13 marzo 2012;191,6
AL;2012;3;2;02/03/2012;13 marzo 2012;202
UD;2012;3;2;02/03/2012;13 marzo 2012;209,5
TV;2012;3;2;02/03/2012;13 marzo 2012;216,5
PD;2012;3;2;02/03/2012;13 marzo 2012;217
RM;2012;3;2;02/03/2012;13 marzo 2012;220
BO;2012;3;2;02/03/2012;13 marzo 2012;220,5
TO;2012;3;2;02/03/2012;13 marzo 2012;227
MI;2012;3;2;02/03/2012;13 marzo 2012;228
GR;2012;3;2;02/03/2012;13 marzo 2012;
VR;2012;3;2;02/03/2012;13 marzo 2012;
NA;2012;3;2;02/03/2012;13 marzo 2012;
FI;2012;3;3;03/03/2012;21 marzo 2012;174,5
PG;2012;3;3;03/03/2012;21 marzo 2012;191,6
AL;2012;3;3;03/03/2012;21 marzo 2012;202
UD;2012;3;3;03/03/2012;21 marzo 2012;209,5
TV;2012;3;3;03/03/2012;21 marzo 2012;216,5
PD;2012;3;3;03/03/2012;21 marzo 2012;220
RM;2012;3;3;03/03/2012;21 marzo 2012;222
BO;2012;3;3;03/03/2012;21 marzo 2012;222,5
GR;2012;3;3;03/03/2012;21 marzo 2012;222,66
TO;2012;3;3;03/03/2012;21 marzo 2012;229
MI;2012;3;3;03/03/2012;21 marzo 2012;230
VR;2012;3;3;03/03/2012;21 marzo 2012;
NA;2012;3;3;03/03/2012;21 marzo 2012;
FI;2012;3;4;04/03/2012;27 marzo 2012;176,5
PG;2012;3;4;04/03/2012;27 marzo 2012;192,6
AL;2012;3;4;04/03/2012;27 marzo 2012;205
UD;2012;3;4;04/03/2012;27 marzo 2012;212,5
TV;2012;3;4;04/03/2012;27 marzo 2012;221,5
RM;2012;3;4;04/03/2012;27 marzo 2012;222
PD;2012;3;4;04/03/2012;27 marzo 2012;223
BO;2012;3;4;04/03/2012;27 marzo 2012;224,5
GR;2012;3;4;04/03/2012;27 marzo 2012;227,66
TO;2012;3;4;04/03/2012;27 marzo 2012;230
MI;2012;3;4;04/03/2012;27 marzo 2012;230
VR;2012;3;4;04/03/2012;27 marzo 2012;
NA;2012;3;4;04/03/2012;27 marzo 2012;
FI;2012;3;5;05/03/2012;02 aprile 2012;179,5
PG;2012;3;5;05/03/2012;02 aprile 2012;194,6
AL;2012;3;5;05/03/2012;02 aprile 2012;205
UD;2012;3;5;05/03/2012;02 aprile 2012;217,5
RM;2012;3;5;05/03/2012;02 aprile 2012;225
PD;2012;3;5;05/03/2012;02 aprile 2012;226
TV;2012;3;5;05/03/2012;02 aprile 2012;226,5
BO;2012;3;5;05/03/2012;02 aprile 2012;227,5
GR;2012;3;5;05/03/2012;02 aprile 2012;230,66
TO;2012;3;5;05/03/2012;02 aprile 2012;234
MI;2012;3;5;05/03/2012;02 aprile 2012;234
VR;2012;3;5;05/03/2012;02 aprile 2012;
NA;2012;3;5;05/03/2012;02 aprile 2012;
FI;2012;4;1;01/04/2012;11 aprile 2012;179,5
PG;2012;4;1;01/04/2012;11 aprile 2012;199,6
AL;2012;4;1;01/04/2012;11 aprile 2012;209
UD;2012;4;1;01/04/2012;11 aprile 2012;223,5
PD;2012;4;1;01/04/2012;11 aprile 2012;226,5
BO;2012;4;1;01/04/2012;11 aprile 2012;227,5
RM;2012;4;1;01/04/2012;11 aprile 2012;228
TV;2012;4;1;01/04/2012;11 aprile 2012;228,5
GR;2012;4;1;01/04/2012;11 aprile 2012;230,66
TO;2012;4;1;01/04/2012;11 aprile 2012;234
MI;2012;4;1;01/04/2012;11 aprile 2012;237
VR;2012;4;1;01/04/2012;11 aprile 2012;
NA;2012;4;1;01/04/2012;11 aprile 2012;
FI;2012;4;2;02/04/2012;17 aprile 2012;179,5
PG;2012;4;2;02/04/2012;17 aprile 2012;199,6
UD;2012;4;2;02/04/2012;17 aprile 2012;222,5
PD;2012;4;2;02/04/2012;17 aprile 2012;226
BO;2012;4;2;02/04/2012;17 aprile 2012;227,5
RM;2012;4;2;02/04/2012;17 aprile 2012;228
TV;2012;4;2;02/04/2012;17 aprile 2012;228,5
GR;2012;4;2;02/04/2012;17 aprile 2012;230,66
TO;2012;4;2;02/04/2012;17 aprile 2012;234
MI;2012;4;2;02/04/2012;17 aprile 2012;237
VR;2012;4;2;02/04/2012;17 aprile 2012;
NA;2012;4;2;02/04/2012;17 aprile 2012;
AL;2012;4;2;02/04/2012;17 aprile 2012;
FI;2012;4;3;03/04/2012;24 aprile 2012;179,5
PG;2012;4;3;03/04/2012;24 aprile 2012;199,6
AL;2012;4;3;03/04/2012;24 aprile 2012;209
UD;2012;4;3;03/04/2012;24 aprile 2012;222,5
TV;2012;4;3;03/04/2012;24 aprile 2012;226,5
BO;2012;4;3;03/04/2012;24 aprile 2012;227,5
RM;2012;4;3;03/04/2012;24 aprile 2012;228
PD;2012;4;3;03/04/2012;24 aprile 2012;228,5
GR;2012;4;3;03/04/2012;24 aprile 2012;230,66
TO;2012;4;3;03/04/2012;24 aprile 2012;235
MI;2012;4;3;03/04/2012;24 aprile 2012;237
VR;2012;4;3;03/04/2012;24 aprile 2012;
NA;2012;4;3;03/04/2012;24 aprile 2012;
FI;2012;5;1;01/05/2012;15 maggio 2012;182,5
AL;2012;5;1;01/05/2012;15 maggio 2012;211
GR;2012;5;1;01/05/2012;15 maggio 2012;230,66
RM;2012;5;1;01/05/2012;15 maggio 2012;231
UD;2012;5;1;01/05/2012;15 maggio 2012;232,5
BO;2012;5;1;01/05/2012;15 maggio 2012;232,5
TV;2012;5;1;01/05/2012;15 maggio 2012;236
PD;2012;5;1;01/05/2012;15 maggio 2012;236
MI;2012;5;1;01/05/2012;15 maggio 2012;240
TO;2012;5;1;01/05/2012;15 maggio 2012;243
PG;2012;5;1;01/05/2012;15 maggio 2012;
NA;2012;5;1;01/05/2012;15 maggio 2012;
VR;2012;5;1;01/05/2012;15 maggio 2012;
FI;2012;5;2;02/05/2012;15 maggio 2012;182,5
PG;2012;5;2;02/05/2012;15 maggio 2012;204,6
AL;2012;5;2;02/05/2012;15 maggio 2012;215
GR;2012;5;2;02/05/2012;15 maggio 2012;230,66
RM;2012;5;2;02/05/2012;15 maggio 2012;231
PD;2012;5;2;02/05/2012;15 maggio 2012;231
UD;2012;5;2;02/05/2012;15 maggio 2012;232,5
BO;2012;5;2;02/05/2012;15 maggio 2012;232,5
TV;2012;5;2;02/05/2012;15 maggio 2012;236
TO;2012;5;2;02/05/2012;15 maggio 2012;239
MI;2012;5;2;02/05/2012;15 maggio 2012;240
VR;2012;5;2;02/05/2012;15 maggio 2012;
NA;2012;5;2;02/05/2012;15 maggio 2012;
FI;2012;5;3;03/05/2012;23 maggio 2012;180,5
PG;2012;5;3;03/05/2012;23 maggio 2012;204,6
AL;2012;5;3;03/05/2012;23 maggio 2012;217
PD;2012;5;3;03/05/2012;23 maggio 2012;226
GR;2012;5;3;03/05/2012;23 maggio 2012;227,66
UD;2012;5;3;03/05/2012;23 maggio 2012;230,5
BO;2012;5;3;03/05/2012;23 maggio 2012;230,5
TV;2012;5;3;03/05/2012;23 maggio 2012;231
RM;2012;5;3;03/05/2012;23 maggio 2012;231
TO;2012;5;3;03/05/2012;23 maggio 2012;239
MI;2012;5;3;03/05/2012;23 maggio 2012;240
VR;2012;5;3;03/05/2012;23 maggio 2012;
NA;2012;5;3;03/05/2012;23 maggio 2012;
FI;2012;5;4;04/05/2012;29 maggio 2012;180,5
PG;2012;5;4;04/05/2012;29 maggio 2012;204,6
AL;2012;5;4;04/05/2012;29 maggio 2012;217
PD;2012;5;4;04/05/2012;29 maggio 2012;227,5
GR;2012;5;4;04/05/2012;29 maggio 2012;227,66
TV;2012;5;4;04/05/2012;29 maggio 2012;229
RM;2012;5;4;04/05/2012;29 maggio 2012;230
BO;2012;5;4;04/05/2012;29 maggio 2012;230,5
TO;2012;5;4;04/05/2012;29 maggio 2012;239
MI;2012;5;4;04/05/2012;29 maggio 2012;241
VR;2012;5;4;04/05/2012;29 maggio 2012;
NA;2012;5;4;04/05/2012;29 maggio 2012;
UD;2012;5;4;04/05/2012;29 maggio 2012;
FI;2012;5;5;05/05/2012;05 giugno 2012;180,5
PG;2012;5;5;05/05/2012;05 giugno 2012;204,6
AL;2012;5;5;05/05/2012;05 giugno 2012;219
PD;2012;5;5;05/05/2012;05 giugno 2012;227,5
TV;2012;5;5;05/05/2012;05 giugno 2012;229
RM;2012;5;5;05/05/2012;05 giugno 2012;230
BO;2012;5;5;05/05/2012;05 giugno 2012;230,5
GR;2012;5;5;05/05/2012;05 giugno 2012;232,66
TO;2012;5;5;05/05/2012;05 giugno 2012;239
MI;2012;5;5;05/05/2012;05 giugno 2012;241
VR;2012;5;5;05/05/2012;05 giugno 2012;
UD;2012;5;5;05/05/2012;05 giugno 2012;
NA;2012;5;5;05/05/2012;05 giugno 2012;
FI;2012;6;1;01/06/2012;13 giugno 2012;178,5
TV;2012;6;1;01/06/2012;13 giugno 2012;226
RM;2012;6;1;01/06/2012;13 giugno 2012;228
BO;2012;6;1;01/06/2012;13 giugno 2012;228,5
TO;2012;6;1;01/06/2012;13 giugno 2012;234
MI;2012;6;1;01/06/2012;13 giugno 2012;241
PG;2012;6;1;01/06/2012;13 giugno 2012;244,6
VR;2012;6;1;01/06/2012;13 giugno 2012;
UD;2012;6;1;01/06/2012;13 giugno 2012;
PD;2012;6;1;01/06/2012;13 giugno 2012;
NA;2012;6;1;01/06/2012;13 giugno 2012;
GR;2012;6;1;01/06/2012;13 giugno 2012;
AL;2012;6;1;01/06/2012;13 giugno 2012;
PG;2012;6;2;02/06/2012;20 giugno 2012;202,6
TO;2012;6;2;02/06/2012;20 giugno 2012;234
MI;2012;6;2;02/06/2012;20 giugno 2012;241
VR;2012;6;2;02/06/2012;20 giugno 2012;
UD;2012;6;2;02/06/2012;20 giugno 2012;
TV;2012;6;2;02/06/2012;20 giugno 2012;
RM;2012;6;2;02/06/2012;20 giugno 2012;
PD;2012;6;2;02/06/2012;20 giugno 2012;
NA;2012;6;2;02/06/2012;20 giugno 2012;
GR;2012;6;2;02/06/2012;20 giugno 2012;
FI;2012;6;2;02/06/2012;20 giugno 2012;
BO;2012;6;2;02/06/2012;20 giugno 2012;
AL;2012;6;2;02/06/2012;20 giugno 2012;
NA;2012;6;3;03/06/2012;27 giugno 2012;
VR;2012;6;3;03/06/2012;27 giugno 2012;
UD;2012;6;3;03/06/2012;27 giugno 2012;
TO;2012;6;3;03/06/2012;27 giugno 2012;
TV;2012;6;3;03/06/2012;27 giugno 2012;
RM;2012;6;3;03/06/2012;27 giugno 2012;
PG;2012;6;3;03/06/2012;27 giugno 2012;
PD;2012;6;3;03/06/2012;27 giugno 2012;
MI;2012;6;3;03/06/2012;27 giugno 2012;
GR;2012;6;3;03/06/2012;27 giugno 2012;
FI;2012;6;3;03/06/2012;27 giugno 2012;
BO;2012;6;3;03/06/2012;27 giugno 2012;
AL;2012;6;3;03/06/2012;27 giugno 2012;
FI;2012;6;4;04/06/2012;04 luglio 2012;188
UD;2012;6;4;04/06/2012;04 luglio 2012;211
PD;2012;6;4;04/06/2012;04 luglio 2012;215
GR;2012;6;4;04/06/2012;04 luglio 2012;217,66
