Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
AL;2013;11;3;03/11/2013;192
BO;2011;1;1;01/01/2011;276
BO;2011;1;2;02/01/2011;282
BO;2011;1;3;03/01/2011;287
BO;2011;1;4;04/01/2011;293
BO;2011;2;1;01/02/2011;293
BO;2011;2;2;02/02/2011;293
BO;2011;2;3;03/02/2011;293
BO;2011;2;4;04/02/2011;288
BO;2011;3;1;01/03/2011;283
BO;2011;3;2;02/03/2011;273
BO;2011;3;3;03/03/2011;
BO;2011;3;4;04/03/2011;268
BO;2011;3;5;05/03/2011;268
BO;2011;4;1;01/04/2011;275
BO;2011;4;2;02/04/2011;275
BO;2011;4;3;03/04/2011;275
BO;2011;4;4;04/04/2011;275
BO;2011;5;1;01/05/2011;273
BO;2011;5;2;02/05/2011;273
BO;2011;5;3;03/05/2011;273
BO;2011;5;4;04/05/2011;275
BO;2011;6;1;01/06/2011;278
BO;2011;6;2;02/06/2011;
BO;2011;6;3;03/06/2011;
BO;2011;6;4;04/06/2011;225,5
BO;2011;6;5;05/06/2011;225,5
BO;2011;7;1;01/07/2011;225,5
BO;2011;7;2;02/07/2011;225,5
BO;2011;7;3;03/07/2011;225,5
BO;2011;7;4;04/07/2011;225,5
BO;2011;8;4;04/08/2011;225,5
BO;2011;9;1;01/09/2011;227,5
BO;2011;9;2;02/09/2011;227,5
BO;2011;9;3;03/09/2011;224,5
BO;2011;9;4;04/09/2011;222,5
BO;2011;9;5;05/09/2011;218,5
BO;2011;10;1;01/10/2011;213,5
BO;2011;10;2;02/10/2011;208,5
BO;2011;10;3;03/10/2011;208,5
BO;2011;10;4;04/10/2011;209,5
BO;2011;11;1;01/11/2011;208,5
BO;2011;11;2;02/11/2011;208,5
BO;2011;11;3;03/11/2011;208,5
BO;2011;11;4;04/11/2011;205,5
BO;2011;12;1;01/12/2011;205,5
BO;2011;12;2;02/12/2011;204,5
BO;2011;12;3;03/12/2011;204,5
BO;2011;12;4;04/12/2011;207,5
BO;2011;12;5;05/12/2011;207,5
BO;2012;1;1;01/01/2012;213,5
BO;2012;1;2;02/01/2012;215,5
BO;2012;1;3;03/01/2012;215,5
BO;2012;1;4;04/01/2012;215,5
BO;2012;2;1;01/02/2012;222,5
BO;2012;2;2;02/02/2012;227,5
BO;2012;2;3;03/02/2012;225,5
BO;2012;2;4;04/02/2012;222,5
BO;2012;3;1;01/03/2012;220,5
BO;2012;3;2;02/03/2012;220,5
BO;2012;3;3;03/03/2012;222,5
BO;2012;3;4;04/03/2012;224,5
BO;2012;3;5;05/03/2012;227,5
BO;2012;4;1;01/04/2012;227,5
BO;2012;4;2;02/04/2012;227,5
BO;2012;4;3;03/04/2012;227,5
BO;2012;5;1;01/05/2012;232,5
BO;2012;5;2;02/05/2012;232,5
BO;2012;5;3;03/05/2012;230,5
BO;2012;5;4;04/05/2012;230,5
BO;2012;5;5;05/05/2012;230,5
BO;2012;6;1;01/06/2012;228,5
BO;2012;6;2;02/06/2012;
BO;2012;6;3;03/06/2012;
BO;2012;6;4;04/06/2012;221,5
BO;2012;7;1;01/07/2012;229,5
BO;2012;7;2;02/07/2012;241,5
BO;2012;7;3;03/07/2012;252,5
BO;2012;7;4;04/07/2012;254,5
BO;2012;8;1;01/08/2012;258,5
BO;2012;8;4;04/08/2012;268,5
BO;2012;8;5;05/08/2012;268,5
BO;2012;9;1;01/09/2012;268,5
BO;2012;9;2;02/09/2012;268,5
BO;2012;9;3;03/09/2012;268,5
BO;2012;9;4;04/09/2012;266,5
BO;2012;10;1;01/10/2012;266,5
BO;2012;10;2;02/10/2012;266,5
BO;2012;10;3;03/10/2012;266,5
BO;2012;10;4;04/10/2012;266,5
BO;2012;11;1;01/11/2012;266,5
BO;2012;11;2;02/11/2012;271,5
BO;2012;11;3;03/11/2012;274,5
BO;2012;11;4;04/11/2012;274,5
BO;2012;11;5;05/11/2012;278,5
BO;2012;12;1;01/12/2012;278,5
BO;2012;12;2;02/12/2012;278,5
BO;2012;12;3;03/12/2012;278,5
BO;2013;1;1;01/01/2013;276,5
BO;2013;1;2;02/01/2013;272,5
BO;2013;1;3;03/01/2013;271,5
BO;2013;1;4;04/01/2013;269,5
BO;2013;1;5;05/01/2013;264,5
BO;2013;2;1;01/02/2013;261,5
BO;2013;2;2;02/02/2013;257,5
BO;2013;2;3;03/02/2013;254,5
BO;2013;2;4;04/02/2013;252,5
BO;2013;3;1;01/03/2013;250,5
BO;2013;3;2;02/03/2013;249,5
BO;2013;3;3;03/03/2013;251,5
BO;2013;3;4;04/03/2013;256,5
BO;2013;4;1;01/04/2013;256,5
BO;2013;4;2;02/04/2013;259,5
BO;2013;4;3;03/04/2013;262,5
BO;2013;4;4;04/04/2013;262,5
BO;2013;5;1;01/05/2013;262,5
BO;2013;5;2;02/05/2013;262,5
BO;2013;5;3;03/05/2013;257,5
BO;2013;5;4;04/05/2013;255,5
BO;2013;5;5;05/05/2013;253,5
BO;2013;6;1;01/06/2013;256,5
BO;2013;6;2;02/06/2013;
BO;2013;6;3;03/06/2013;
BO;2013;6;4;04/06/2013;
BO;2013;7;1;01/07/2013;211,5
BO;2013;7;2;02/07/2013;208,5
BO;2013;7;3;03/07/2013;206,5
BO;2013;7;4;04/07/2013;202,5
BO;2013;8;1;01/08/2013;202,5
BO;2013;8;4;04/08/2013;201,5
BO;2013;8;5;05/08/2013;201,5
BO;2013;9;1;01/09/2013;201,5
BO;2013;9;2;02/09/2013;201,5
BO;2013;9;3;03/09/2013;201
BO;2013;9;4;04/09/2013;197,5
BO;2013;10;1;01/10/2013;197,5
BO;2013;10;2;02/10/2013;197,5
BO;2013;10;3;03/10/2013;202,5
BO;2013;10;4;04/10/2013;206,5
BO;2013;10;5;05/10/2013;208,5
BO;2013;11;1;01/11/2013;208,5
BO;2013;11;2;02/11/2013;209,5
BO;2013;11;3;03/11/2013;209,5
FI;2011;1;1;01/01/2011;230,5
FI;2011;1;2;02/01/2011;237,5
FI;2011;1;3;03/01/2011;242,5
FI;2011;1;4;04/01/2011;247,5
FI;2011;2;1;01/02/2011;247,5
FI;2011;2;2;02/02/2011;247,5
FI;2011;2;3;03/02/2011;247,5
FI;2011;2;4;04/02/2011;242,5
FI;2011;3;1;01/03/2011;237,5
FI;2011;3;2;02/03/2011;227,5
FI;2011;3;3;03/03/2011;217,5
FI;2011;3;4;04/03/2011;215,5
FI;2011;3;5;05/03/2011;215,5
FI;2011;4;1;01/04/2011;222,5
FI;2011;4;2;02/04/2011;222,5
FI;2011;4;3;03/04/2011;222,5
FI;2011;4;4;04/04/2011;222,5
FI;2011;5;1;01/05/2011;
FI;2011;5;2;02/05/2011;220
FI;2011;5;3;03/05/2011;220,5
FI;2011;5;4;04/05/2011;223,5
FI;2011;6;1;01/06/2011;225,5
FI;2011;6;2;02/06/2011;230
FI;2011;6;3;03/06/2011;
FI;2011;6;4;04/06/2011;
FI;2011;6;5;05/06/2011;
FI;2011;7;1;01/07/2011;
FI;2011;7;2;02/07/2011;182,5
FI;2011;7;3;03/07/2011;182,5
FI;2011;7;4;04/07/2011;
FI;2011;8;4;04/08/2011;182,5
FI;2011;9;1;01/09/2011;184,5
FI;2011;9;2;02/09/2011;185,5
FI;2011;9;3;03/09/2011;183,5
FI;2011;9;4;04/09/2011;181,5
FI;2011;9;5;05/09/2011;179,5
FI;2011;10;1;01/10/2011;175,5
FI;2011;10;2;02/10/2011;170,5
FI;2011;10;3;03/10/2011;170,5
FI;2011;10;4;04/10/2011;170,5
FI;2011;11;1;01/11/2011;170,5
FI;2011;11;2;02/11/2011;170,5
FI;2011;11;3;03/11/2011;170,5
FI;2011;11;4;04/11/2011;167,5
FI;2011;12;1;01/12/2011;167,5
FI;2011;12;2;02/12/2011;166,5
FI;2011;12;3;03/12/2011;165,5
FI;2011;12;4;04/12/2011;167,5
FI;2011;12;5;05/12/2011;166
FI;2012;1;1;01/01/2012;
FI;2012;1;2;02/01/2012;171,5
FI;2012;1;3;03/01/2012;171,5
FI;2012;1;4;04/01/2012;171,5
FI;2012;2;1;01/02/2012;171,5
FI;2012;2;2;02/02/2012;179,5
FI;2012;2;3;03/02/2012;177,5
FI;2012;2;4;04/02/2012;174,5
FI;2012;3;1;01/03/2012;172,5
FI;2012;3;2;02/03/2012;172,5
FI;2012;3;3;03/03/2012;174,5
FI;2012;3;4;04/03/2012;176,5
